NTPTime,speech,condition,robot,gesture,speech_eng,label_emotion,label_mood,scenario,TAG,emotion_arousal,emotion_valence,mood_arousal,mood_valence,emotion,mood,group,emotion_HRI
1859585.0,,neutral,tiago,,,mood_pre,mood_pre,,first_baseline,5.0,4.0,4,4,HPVHA,HPVHA,,
2041953.0,,neutral,tiago,,,mood_pre,mood_pre,,first_baseline,5.0,4.0,4,4,HPVHA,HPVHA,,
2248728.0,,neutral,tiago,,,,,,HRI_start,,,4,4,,HPVHA,,
2267568.203857422,Guten Tag!,neutral,tiago,,Welcome!,,mood_pre,welcoming,,,,4,4,,HPVHA,,
2268789.612060547,Zu welchem Produkt kann ich Sie beraten?,neutral,tiago,,Which product can I offer you advice on?,,mood_pre,welcoming,,,,4,4,,HPVHA,,
2275191.273925781,Welche Bohrarbeit möchten Sie durchführen?,neutral,tiago,,What drilling work do you want to do?,,during_drill,drill,,,,5,5,,HPVHA,,
2280427.283935547,Für massive Wände eignen sich Schlagbohrmaschinen besonders gut. Wir haben zwei Maschinen vorrätig.,neutral,tiago,,Percussion drilling machines are particularly suitable for solid walls. We have two machines in stock.,,during_drill,drill,,,,5,5,,HPVHA,,
2287099.2041015625,"Die Maschine von Ada Tronik ist aktuell in unserem Angebotsprospekt und kostet 100€, die Maschine von Xi Lix ist etwas günstiger und kostet 65€.",neutral,tiago,,"The machine from Adatronik is currently on sale in our brochure and costs 100€, the machine from Xilix is slightly cheaper and costs 65€.",,during_drill,drill,,,,5,5,,HPVHA,,
2306332.927001953,"Die Maschine von Xi Lix hat ein offizielles Sicherheitssiegel, was bei Ada Tronik nicht der Fall ist.",neutral,tiago,,"Xilix's machine has an official security seal, which is not the case with Adatronik.",,during_drill,drill,,,,5,5,,HPVHA,,
2318939.947998047,"Die Bohrmaschine von Xi Lix ist leiser, als die Maschine von Ada Tronik.",neutral,tiago,,The Xilix drill is quieter than Adatronik's machine.,,during_drill,drill,,,,5,5,,HPVHA,,
2336591.467041016,"Die Bohrmaschine von Xi Lix ist aus umweltfreundlichen Materialien hergestellt, bei Ada Tronik werden hierzu keine Angaben gemacht.",neutral,tiago,,The drill from Xilix is made of environmentally friendly materials. Adatronik does not provide any information on this.,,during_drill,drill,,,,5,5,,HPVHA,,
2344385.178955078,Sind Sie an einer Empfehlung interessiert?,neutral,tiago,,Are you interested in a recommendation?,,during_drill,drill,,,,5,5,,HPVHA,,
2351842.451904297,"Die Maschine von Ada Tronik ist aktuell in unserem Angebotsprospekt und kostet 100€, die Maschine von Xi Lix ist etwas günstiger und kostet 65€.",neutral,tiago,,"The machine from Adatronik is currently on sale in our brochure and costs 100€, the machine from Xilix is slightly cheaper and costs 65€.",,during_drill,drill,,,,5,5,,HPVHA,,
2367744.735107422,Ich würde Ihnen die Bohrmaschine von Xi Lix empfehlen. Sie ist günstiger und hat ein offizielles Sicherheitssiegel. Mit dem Kauf schützen Sie die Umwelt und sie ist zudem leiser.,neutral,tiago,,"I recommend the drill from Xilix. It is cheaper and has an official safety seal. By buying it, you protect the environment, and it is also quieter.",at_drillrecommendation,during_drill,drill,,5.0,5.0,5,5,HPVHA,HPVHA,14.0,HPVHA
2381688.8959960938,Ich lasse Ihnen das Produkt gerne an der Kasse hinterlegen.,neutral,tiago,,I will gladly deposit the product for you at the checkout.,,during_drill,drill,,,,5,5,,HPVHA,,
2387123.126953125,Haben Sie bereits von unserem Kundenkonto gehört?,neutral,tiago,,Have you heard about our customer account?,,during_customeraccount,customeraccount,,,,5,4,,HPVHA,,
2394371.682861328,"Sie können einen Rabatt von 10% bekommen, wenn Sie ein Kundenkonto eröffnen.",neutral,tiago,,You will receive a 10% discount if you create a customer account.,,during_customeraccount,customeraccount,,,,5,4,,HPVHA,,
2399179.6611328125,Darf ich ihnen ein Kundenkonto einrichten?,neutral,tiago,,May I set up a customer account for you?,,during_customeraccount,customeraccount,,,,5,4,,HPVHA,,
2403791.805175781,Dann benötige ich Ihren Namen und Ihre E-Mail-Adresse.,neutral,tiago,,"Then, I need your name and email address.",at_customeraccount_name,during_customeraccount,customeraccount,,5.0,3.0,5,4,NEUTRAL,HPVHA,19.0,NEUTRAL
2414889.6259765625,Und wie ist ihre E-Mail-Adresse?,neutral,tiago,,And what is your email address?,,during_customeraccount,customeraccount,,,,5,4,,HPVHA,,
2423308.3688964844,Vielen Dank.,neutral,tiago,,Thank you very much.,,during_customeraccount,customeraccount,,,,5,4,,HPVHA,,
2428998.892089844,"Steht noch etwas auf Ihrer Einkaufsliste, bei dem ich Ihnen helfen kann?",neutral,tiago,,Is there anything else I can help you with on your shopping list?,,,,,,,5,4,,HPVHA,,
2437602.569091797,Zum Entfernen von Schimmel haben wir nur dieses Produkt im Sortiment.,neutral,tiago,,"To remove mold, we have only this product in the store.",,during_mold_remover,mold_remover,,,,5,4,,HPVHA,,
2443241.482910156,Möchten Sie den Schimmelentferner kaufen?,neutral,tiago,,Do you want to buy the mold remover?,,during_mold_remover,mold_remover,,,,5,4,,HPVHA,,
2447895.1740722656,Der Schimmelentferner kostet 6 Euro 10.,neutral,tiago,,The mold remover costs 6 euros 10 cents.,,during_mold_remover,mold_remover,,,,5,4,,HPVHA,,
2454709.6721191406,Der Schimmelentferner entfernt nachhaltig jeden Schimmelpilz.,neutral,tiago,,The mold remover removes every mold sustainably,,during_mold_remover,mold_remover,,,,5,4,,HPVHA,,
2462704.3728027344,"Ok, ich werde ihnen die Flasche reichen und meine Hand öffnen. Bitte seien Sie bereit, die Flasche zu übernehmen.",neutral,tiago,,"Okay, I will hand over the bottle to you and open my hand. Please be prepared to take the bottle.",at_mold_remover_handover,during_mold_remover,mold_remover,,5.0,4.0,5,4,HPVHA,HPVHA,27.0,HPVHA
2463383.0490722656,,neutral,tiago,grab,,at_mold_remover_handover,during_mold_remover,mold_remover,,5.0,4.0,5,4,HPVHA,HPVHA,27.0,
2471446.516113281,,neutral,tiago,handover,,at_mold_remover_handover,during_mold_remover,mold_remover,,5.0,4.0,5,4,HPVHA,HPVHA,27.0,
2482124.4221191406,Kann ich Ihnen noch mit etwas helfen?,neutral,tiago,,Is there anything else I can help you with?,,,,,,,5,4,,HPVHA,,
2486472.58203125,Dann auf Wiedersehen und einen schönen Tag!,neutral,tiago,,"Goodbye, and have a nice day!",at_goodbye,,goodbye,,5.0,4.0,5,4,HPVHA,HPVHA,29.0,HPVHA
4885755.0,,neutral,tiago,,,mood_post,mood_post,,second_baseline,5.0,4.0,5,4,HPVHA,HPVHA,,
5080326.0,,neutral,tiago,,,mood_post,mood_post,,second_baseline,5.0,4.0,5,4,HPVHA,HPVHA,,
