NTPTime,speech,condition,robot,gesture,speech_eng,label_emotion,label_mood,scenario,TAG,emotion_arousal,emotion_valence,mood_arousal,mood_valence,emotion,mood,group,emotion_HRI
888103.0,,neutral,tiago,,,mood_pre,mood_pre,,first_baseline,2.0,2.0,1,4,HNVLA,HPVLA,,
1071158.0,,neutral,tiago,,,mood_pre,mood_pre,,first_baseline,2.0,2.0,1,4,HNVLA,HPVLA,,
1200930.0,,neutral,tiago,,,,,,HRI_start,,,1,4,,HPVLA,,
1215589.7670898438,Guten Tag!,neutral,tiago,,Welcome!,,mood_pre,welcoming,,,,1,4,,HPVLA,,
1216986.171875,Zu welchem Produkt kann ich Sie beraten?,neutral,tiago,,Which product can I offer you advice on?,,mood_pre,welcoming,,,,1,4,,HPVLA,,
1224753.96484375,Welche Bohrarbeit möchten Sie durchführen?,neutral,tiago,,What drilling work do you want to do?,,during_drill,drill,,,,4,1,,HNVHA,,
1234565.6091308594,Für massive Wände eignen sich Schlagbohrmaschinen besonders gut. Wir haben zwei Maschinen vorrätig.,neutral,tiago,,Percussion drilling machines are particularly suitable for solid walls. We have two machines in stock.,,during_drill,drill,,,,4,1,,HNVHA,,
1243692.3088378906,"Möchten Sie wissen, wie sich die beiden Bohrmaschinen unterscheiden?",neutral,tiago,,Would you like to know how the two drills differ?,,during_drill,drill,,,,4,1,,HNVHA,,
1248459.4599609375,"Die Maschine von Ada Tronik ist aktuell in unserem Angebotsprospekt und kostet 100€, die Maschine von Xi Lix ist etwas günstiger und kostet 65€.",neutral,tiago,,"The machine from Adatronik is currently on sale in our brochure and costs 100€, the machine from Xilix is slightly cheaper and costs 65€.",,during_drill,drill,,,,4,1,,HNVHA,,
1265572.4189453125,"Die Bohrmaschine von Xi Lix ist leiser, als die Maschine von Ada Tronik.",neutral,tiago,,The Xilix drill is quieter than Adatronik's machine.,,during_drill,drill,,,,4,1,,HNVHA,,
1279388.873046875,"Tut mir Leid, das weiß ich nicht.",neutral,tiago,,,,,,,,,4,1,,HNVHA,,
1282089.6079101562,Welche weiteren Aspekte sind ihnen bei der Auswahl der Bohrmaschine noch wichtig?,neutral,tiago,,Which further aspects of selecting a drill are important for you?,,during_drill,drill,,,,4,1,,HNVHA,,
1289260.0,"Die Maschine von Xi Lix hat ein offizielles Sicherheitssiegel, was bei Ada Tronik nicht der Fall ist.",neutral,tiago,,"Xilix's machine has an official security seal, which is not the case with Adatronik.",,during_drill,drill,,,,4,1,,HNVHA,,
