NTPTime,speech,condition,robot,gesture,speech_eng,label_emotion,label_mood,scenario,TAG,emotion_arousal,emotion_valence,mood_arousal,mood_valence,emotion,mood,group,emotion_HRI
2030265.0,,neutral,tiago,,,mood_pre,mood_pre,,first_baseline,1.0,4.0,1,4,HPVLA,HPVLA,,
2196304.0,,neutral,tiago,,,mood_pre,mood_pre,,first_baseline,1.0,4.0,1,4,HPVLA,HPVLA,,
2367155.0,,neutral,tiago,,,,,,HRI_start,,,1,4,,HPVLA,,
2391388.440185547,Guten Tag!,neutral,tiago,,Welcome!,,mood_pre,welcoming,,,,1,4,,HPVLA,,
2392807.6870117188,Zu welchem Produkt kann ich Sie beraten?,neutral,tiago,,Which product can I offer you advice on?,,mood_pre,welcoming,,,,1,4,,HPVLA,,
2398137.921142578,Welche Bohrarbeit möchten Sie durchführen?,neutral,tiago,,What drilling work do you want to do?,,during_drill,drill,,,,1,4,,HPVLA,,
2410456.5588378906,Handelt es sich um eine massive Wand?,neutral,tiago,,Is it a solid wall?,,during_drill,drill,,,,1,4,,HPVLA,,
2414145.4169921875,Für massive Wände eignen sich Schlagbohrmaschinen besonders gut. Wir haben zwei Maschinen vorrätig.,neutral,tiago,,Percussion drilling machines are particularly suitable for solid walls. We have two machines in stock.,,during_drill,drill,,,,1,4,,HPVLA,,
2425476.6950683594,"Die Bohrmaschine von Xi Lix ist leiser, als die Maschine von Ada Tronik.",neutral,tiago,,The Xilix drill is quieter than Adatronik's machine.,,during_drill,drill,,,,1,4,,HPVLA,,
2434849.602783203,"Die Maschine von Ada Tronik ist aktuell in unserem Angebotsprospekt und kostet 100€, die Maschine von Xi Lix ist etwas günstiger und kostet 65€.",neutral,tiago,,"The machine from Adatronik is currently on sale in our brochure and costs 100€, the machine from Xilix is slightly cheaper and costs 65€.",,during_drill,drill,,,,1,4,,HPVLA,,
2450355.5270996094,"Die Bohrmaschine von Xi Lix ist aus umweltfreundlichen Materialien hergestellt, bei Ada Tronik werden hierzu keine Angaben gemacht.",neutral,tiago,,The drill from Xilix is made of environmentally friendly materials. Adatronik does not provide any information on this.,,during_drill,drill,,,,1,4,,HPVLA,,
2464483.076171875,"Die Maschine von Ada Tronik ist aktuell in unserem Angebotsprospekt und kostet 100€, die Maschine von Xi Lix ist etwas günstiger und kostet 65€.",neutral,tiago,,"The machine from Adatronik is currently on sale in our brochure and costs 100€, the machine from Xilix is slightly cheaper and costs 65€.",,during_drill,drill,,,,1,4,,HPVLA,,
