NTPTime,speech,condition,robot,gesture,speech_eng,label_emotion,label_mood,scenario,TAG,emotion_arousal,emotion_valence,mood_arousal,mood_valence,emotion,mood,group,emotion_HRI
1799598.0,,neutral,tiago,,,mood_pre,mood_pre,,first_baseline,1.0,5.0,1,4,HPVLA,HPVLA,,
1980419.0,,neutral,tiago,,,mood_pre,mood_pre,,first_baseline,1.0,5.0,1,4,HPVLA,HPVLA,,
2202148.0,,neutral,tiago,,,,,,HRI_start,,,1,4,,HPVLA,,
2212921.874023437,Guten Tag!,neutral,tiago,,Welcome!,,mood_pre,welcoming,,,,1,4,,HPVLA,,
2214080.499023437,Zu welchem Produkt kann ich Sie beraten?,neutral,tiago,,Which product can I offer you advice on?,,mood_pre,welcoming,,,,1,4,,HPVLA,,
2220480.9240722656,Welche Bohrarbeit möchten Sie durchführen?,neutral,tiago,,What drilling work do you want to do?,,during_drill,drill,,,,4,5,,HPVHA,,
2226715.4291992188,Für massive Wände eignen sich Schlagbohrmaschinen besonders gut. Wir haben zwei Maschinen vorrätig.,neutral,tiago,,Percussion drilling machines are particularly suitable for solid walls. We have two machines in stock.,,during_drill,drill,,,,4,5,,HPVHA,,
2237848.783203125,"Die Maschine von Ada Tronik ist aktuell in unserem Angebotsprospekt und kostet 100€, die Maschine von Xi Lix ist etwas günstiger und kostet 65€.",neutral,tiago,,"The machine from Adatronik is currently on sale in our brochure and costs 100€, the machine from Xilix is slightly cheaper and costs 65€.",,during_drill,drill,,,,4,5,,HPVHA,,
2259472.958251953,"Die Maschine von Xi Lix hat ein offizielles Sicherheitssiegel, was bei Ada Tronik nicht der Fall ist.",neutral,tiago,,"Xilix's machine has an official security seal, which is not the case with Adatronik.",,during_drill,drill,,,,4,5,,HPVHA,,
2274205.968017578,"Die Bohrmaschine von Xi Lix ist leiser, als die Maschine von Ada Tronik.",neutral,tiago,,The Xilix drill is quieter than Adatronik's machine.,,during_drill,drill,,,,4,5,,HPVHA,,
2291186.069091797,"Die Bohrmaschine von Xi Lix ist aus umweltfreundlichen Materialien hergestellt, bei Ada Tronik werden hierzu keine Angaben gemacht.",neutral,tiago,,The drill from Xilix is made of environmentally friendly materials. Adatronik does not provide any information on this.,,during_drill,drill,,,,4,5,,HPVHA,,
2301893.1640625,Sind Sie an einer Empfehlung interessiert?,neutral,tiago,,Are you interested in a recommendation?,,during_drill,drill,,,,4,5,,HPVHA,,
2307887.506103516,Ich würde Ihnen die Bohrmaschine von Xi Lix empfehlen. Sie ist günstiger und hat ein offizielles Sicherheitssiegel. Mit dem Kauf schützen Sie die Umwelt und sie ist zudem leiser.,neutral,tiago,,"I recommend the drill from Xilix. It is cheaper and has an official safety seal. By buying it, you protect the environment, and it is also quieter.",at_drillrecommendation,during_drill,drill,,1.0,5.0,4,5,HPVLA,HPVHA,13.0,HPVLA
2324846.3220214844,Nein,neutral,tiago,,,,,,,,,4,5,,HPVHA,,
2334480.4060058594,Ich lasse Ihnen das Produkt gerne an der Kasse hinterlegen.,neutral,tiago,,I will gladly deposit the product for you at the checkout.,,during_drill,drill,,,,4,5,,HPVHA,,
2339824.822998047,Darf ich ihnen ein Kundenkonto einrichten?,neutral,tiago,,May I set up a customer account for you?,,during_customeraccount,customeraccount,,,,3,1,,NEUTRAL,,
2344087.235107422,"Sie können einen Rabatt von 10% bekommen, wenn Sie ein Kundenkonto eröffnen.",neutral,tiago,,You will receive a 10% discount if you create a customer account.,,during_customeraccount,customeraccount,,,,3,1,,NEUTRAL,,
2358260.5180664062,Für Informationen über den Datenschutz besuchen Sie bitte unsere Webseite.,neutral,tiago,,"For information about data protection, please visit our website.",at_customeraccount_consent,during_customeraccount,customeraccount,,5.0,1.0,3,1,HNVHA,NEUTRAL,18.0,HNVHA
2371144.374023437,"Tut mir Leid, das weiß ich nicht.",neutral,tiago,,,,,,,,,3,1,,NEUTRAL,,
2374024.1689453125,Für Informationen über den Datenschutz besuchen Sie bitte unsere Webseite.,neutral,tiago,,"For information about data protection, please visit our website.",at_customeraccount_consent,during_customeraccount,customeraccount,,5.0,1.0,3,1,HNVHA,NEUTRAL,20.0,HNVHA
2392642.663085937,Zum Entfernen von Schimmel haben wir nur dieses Produkt im Sortiment.,neutral,tiago,,"To remove mold, we have only this product in the store.",,during_mold_remover,mold_remover,,,,3,1,,NEUTRAL,,
2396432.9392089844,Möchten Sie den Schimmelentferner kaufen?,neutral,tiago,,Do you want to buy the mold remover?,,during_mold_remover,mold_remover,,,,3,1,,NEUTRAL,,
2401544.162109375,,neutral,tiago,grab,,at_mold_remover_handover,during_mold_remover,mold_remover,,1.0,4.0,3,1,HPVLA,NEUTRAL,23.0,HPVLA
2402571.853027344,"Ok, ich werde ihnen die Flasche reichen und meine Hand öffnen. Bitte seien Sie bereit, die Flasche zu übernehmen.",neutral,tiago,,"Okay, I will hand over the bottle to you and open my hand. Please be prepared to take the bottle.",at_mold_remover_handover,during_mold_remover,mold_remover,,1.0,4.0,3,1,HPVLA,NEUTRAL,23.0,
2411076.317138672,,neutral,tiago,handover,,at_mold_remover_handover,during_mold_remover,mold_remover,,1.0,4.0,3,1,HPVLA,NEUTRAL,23.0,
2421289.3220214844,Kann ich Ihnen noch mit etwas helfen?,neutral,tiago,,Is there anything else I can help you with?,,,,,,,3,1,,NEUTRAL,,
2430404.1091308594,Nein,neutral,tiago,,,,,,,,,3,1,,NEUTRAL,,
2432135.3481445312,Dann benötige ich Ihren Namen und Ihre E-Mail-Adresse.,neutral,tiago,,"Then, I need your name and email address.",at_customeraccount_name,during_customeraccount,customeraccount,,1.0,5.0,3,1,HPVLA,NEUTRAL,26.0,HPVLA
2441107.0432128906,Und wie ist ihre E-Mail-Adresse?,neutral,tiago,,And what is your email address?,,during_customeraccount,customeraccount,,,,3,1,,NEUTRAL,,
2457791.380126953,Vielen Dank.,neutral,tiago,,Thank you very much.,,during_customeraccount,customeraccount,,,,3,1,,NEUTRAL,,
2460497.5720214844,Kann ich Ihnen noch mit etwas helfen?,neutral,tiago,,Is there anything else I can help you with?,,,,,,,3,1,,NEUTRAL,,
2466694.1040039062,Dann auf Wiedersehen und einen schönen Tag!,neutral,tiago,,"Goodbye, and have a nice day!",at_goodbye,,goodbye,,1.0,5.0,3,1,HPVLA,NEUTRAL,30.0,HPVLA
3918742.0,,neutral,tiago,,,mood_post,mood_post,,second_baseline,1.0,5.0,3,3,HPVLA,NEUTRAL,,
4109532.0,,neutral,tiago,,,mood_post,mood_post,,second_baseline,1.0,5.0,3,3,HPVLA,NEUTRAL,,
