NTPTime,speech,condition,robot,gesture,speech_eng,label_emotion,label_mood,scenario,TAG,emotion_arousal,emotion_valence,mood_arousal,mood_valence,emotion,mood,group,emotion_HRI
1116879.0,,neutral,tiago,,,mood_pre,mood_pre,,first_baseline,1.0,5.0,2,3,HPVLA,NEUTRAL,,
1325545.0,,neutral,tiago,,,mood_pre,mood_pre,,first_baseline,1.0,5.0,2,3,HPVLA,NEUTRAL,,
1529914.0,,neutral,tiago,,,,,,HRI_start,,,2,3,,NEUTRAL,,
1540771.4482421875,Guten Tag!,neutral,tiago,,Welcome!,,mood_pre,welcoming,,,,2,3,,NEUTRAL,,
1541851.7590332031,Zu welchem Produkt kann ich Sie beraten?,neutral,tiago,,Which product can I offer you advice on?,,mood_pre,welcoming,,,,2,3,,NEUTRAL,,
1547086.83203125,Welche Bohrarbeit möchten Sie durchführen?,neutral,tiago,,What drilling work do you want to do?,,during_drill,drill,,,,2,4,,HPVLA,,
1558348.5251464844,Für massive Wände eignen sich Schlagbohrmaschinen besonders gut. Wir haben zwei Maschinen vorrätig.,neutral,tiago,,Percussion drilling machines are particularly suitable for solid walls. We have two machines in stock.,,during_drill,drill,,,,2,4,,HPVLA,,
1567933.869140625,"Die Maschine von Ada Tronik ist aktuell in unserem Angebotsprospekt und kostet 100€, die Maschine von Xi Lix ist etwas günstiger und kostet 65€.",neutral,tiago,,"The machine from Adatronik is currently on sale in our brochure and costs 100€, the machine from Xilix is slightly cheaper and costs 65€.",,during_drill,drill,,,,2,4,,HPVLA,,
1586310.244140625,"Die Bohrmaschine von Xi Lix ist leiser, als die Maschine von Ada Tronik.",neutral,tiago,,The Xilix drill is quieter than Adatronik's machine.,,during_drill,drill,,,,2,4,,HPVLA,,
1603726.5551757812,"Die Maschine von Xi Lix hat ein offizielles Sicherheitssiegel, was bei Ada Tronik nicht der Fall ist.",neutral,tiago,,"Xilix's machine has an official security seal, which is not the case with Adatronik.",,during_drill,drill,,,,2,4,,HPVLA,,
1620010.5600585938,"Die Bohrmaschine von Xi Lix ist aus umweltfreundlichen Materialien hergestellt, bei Ada Tronik werden hierzu keine Angaben gemacht.",neutral,tiago,,The drill from Xilix is made of environmentally friendly materials. Adatronik does not provide any information on this.,,during_drill,drill,,,,2,4,,HPVLA,,
1634597.985107422,Ich lasse Ihnen das Produkt gerne an der Kasse hinterlegen.,neutral,tiago,,I will gladly deposit the product for you at the checkout.,,during_drill,drill,,,,2,4,,HPVLA,,
1637770.8361816406,Haben Sie bereits von unserem Kundenkonto gehört?,neutral,tiago,,Have you heard about our customer account?,,during_customeraccount,customeraccount,,,,2,4,,HPVLA,,
1647105.9790039062,"Sie können einen Rabatt von 10% bekommen, wenn Sie ein Kundenkonto eröffnen.",neutral,tiago,,You will receive a 10% discount if you create a customer account.,,during_customeraccount,customeraccount,,,,2,4,,HPVLA,,
1652305.9931640625,Darf ich ihnen ein Kundenkonto einrichten?,neutral,tiago,,May I set up a customer account for you?,,during_customeraccount,customeraccount,,,,2,4,,HPVLA,,
1656301.2631835938,Dann benötige ich Ihren Namen und Ihre E-Mail-Adresse.,neutral,tiago,,"Then, I need your name and email address.",at_customeraccount_name,during_customeraccount,customeraccount,,3.0,3.0,2,4,NEUTRAL,HPVLA,16.0,NEUTRAL
1668396.2770996094,Vielen Dank.,neutral,tiago,,Thank you very much.,,during_customeraccount,customeraccount,,,,2,4,,HPVLA,,
1669874.9541015625,"Das wars schon, der Rabatt wird ihnen automatisch an der Kasse angerechnet.",neutral,tiago,,That's it. The discount will be credited to you automatically at checkout.,,during_customeraccount,customeraccount,,,,2,4,,HPVLA,,
1687107.0991210938,Zum Entfernen von Schimmel haben wir nur dieses Produkt im Sortiment.,neutral,tiago,,"To remove mold, we have only this product in the store.",,during_mold_remover,mold_remover,,,,2,4,,HPVLA,,
1691284.1330566406,Möchten Sie den Schimmelentferner kaufen?,neutral,tiago,,Do you want to buy the mold remover?,,during_mold_remover,mold_remover,,,,2,4,,HPVLA,,
1695125.5910644531,"Ok, ich werde ihnen die Flasche reichen und meine Hand öffnen. Bitte seien Sie bereit, die Flasche zu übernehmen.",neutral,tiago,,"Okay, I will hand over the bottle to you and open my hand. Please be prepared to take the bottle.",at_mold_remover_handover,during_mold_remover,mold_remover,,2.0,5.0,2,4,HPVLA,HPVLA,21.0,HPVLA
1701861.6420898438,,neutral,tiago,grab,,at_mold_remover_handover,during_mold_remover,mold_remover,,2.0,5.0,2,4,HPVLA,HPVLA,21.0,
1708961.1262207031,,neutral,tiago,handover,,at_mold_remover_handover,during_mold_remover,mold_remover,,2.0,5.0,2,4,HPVLA,HPVLA,21.0,
1716678.413330078,,neutral,tiago,neutral,,at_mold_remover_handover,during_mold_remover,mold_remover,,2.0,5.0,2,4,HPVLA,HPVLA,21.0,
1719118.8732910156,Kann ich Ihnen noch mit etwas helfen?,neutral,tiago,,Is there anything else I can help you with?,,,,,,,2,4,,HPVLA,,
1723512.3862304688,Dann auf Wiedersehen und einen schönen Tag!,neutral,tiago,,"Goodbye, and have a nice day!",at_goodbye,,goodbye,,1.0,5.0,2,4,HPVLA,HPVLA,23.0,HPVLA
3381092.0,,neutral,tiago,,,mood_post,mood_post,,second_baseline,1.0,5.0,2,4,HPVLA,HPVLA,,
3569991.0,,neutral,tiago,,,mood_post,mood_post,,second_baseline,1.0,5.0,2,4,HPVLA,HPVLA,,
