NTPTime,speech,condition,robot,gesture,speech_eng,label_emotion,label_mood,scenario,TAG,emotion_arousal,emotion_valence,mood_arousal,mood_valence,emotion,mood,group,emotion_HRI
963216.0,,neutral,tiago,,,mood_pre,mood_pre,,first_baseline,2.0,4.0,3,4,HPVLA,NEUTRAL,,
1150740.0,,neutral,tiago,,,mood_pre,mood_pre,,first_baseline,2.0,4.0,3,4,HPVLA,NEUTRAL,,
1375047.0,,neutral,tiago,,,,,,HRI_start,,,3,4,,NEUTRAL,,
1386924.1928710938,Guten Tag!,neutral,tiago,,Welcome!,,mood_pre,welcoming,,,,3,4,,NEUTRAL,,
1388449.9150390625,Zu welchem Produkt kann ich Sie beraten?,neutral,tiago,,Which product can I offer you advice on?,,mood_pre,welcoming,,,,3,4,,NEUTRAL,,
1397137.8479003906,Welche Bohrarbeit möchten Sie durchführen?,neutral,tiago,,What drilling work do you want to do?,,during_drill,drill,,,,4,4,,HPVHA,,
1403143.7380371094,Handelt es sich um eine massive Wand?,neutral,tiago,,Is it a solid wall?,,during_drill,drill,,,,4,4,,HPVHA,,
1406932.2509765625,Für massive Wände eignen sich Schlagbohrmaschinen besonders gut. Wir haben zwei Maschinen vorrätig.,neutral,tiago,,Percussion drilling machines are particularly suitable for solid walls. We have two machines in stock.,,during_drill,drill,,,,4,4,,HPVHA,,
1416751.442138672,"Die Maschine von Ada Tronik ist aktuell in unserem Angebotsprospekt und kostet 100€, die Maschine von Xi Lix ist etwas günstiger und kostet 65€.",neutral,tiago,,"The machine from Adatronik is currently on sale in our brochure and costs 100€, the machine from Xilix is slightly cheaper and costs 65€.",,during_drill,drill,,,,4,4,,HPVHA,,
1431137.071044922,"Die Bohrmaschine von Xi Lix ist leiser, als die Maschine von Ada Tronik.",neutral,tiago,,The Xilix drill is quieter than Adatronik's machine.,,during_drill,drill,,,,4,4,,HPVHA,,
1439266.3540039062,"Die Bohrmaschine von Xi Lix ist aus umweltfreundlichen Materialien hergestellt, bei Ada Tronik werden hierzu keine Angaben gemacht.",neutral,tiago,,The drill from Xilix is made of environmentally friendly materials. Adatronik does not provide any information on this.,,during_drill,drill,,,,4,4,,HPVHA,,
1450552.0190429688,"Die Maschine von Xi Lix hat ein offizielles Sicherheitssiegel, was bei Ada Tronik nicht der Fall ist.",neutral,tiago,,"Xilix's machine has an official security seal, which is not the case with Adatronik.",,during_drill,drill,,,,4,4,,HPVHA,,
1460639.587890625,Ich lasse Ihnen das Produkt gerne an der Kasse hinterlegen.,neutral,tiago,,I will gladly deposit the product for you at the checkout.,,during_drill,drill,,,,4,4,,HPVHA,,
1464227.1291503906,Haben Sie bereits von unserem Kundenkonto gehört?,neutral,tiago,,Have you heard about our customer account?,,during_customeraccount,customeraccount,,,,3,2,,NEUTRAL,,
1469442.9299316406,"Sie können einen Rabatt von 10% bekommen, wenn Sie ein Kundenkonto eröffnen.",neutral,tiago,,You will receive a 10% discount if you create a customer account.,,during_customeraccount,customeraccount,,,,3,2,,NEUTRAL,,
1478656.8449707031,Für Informationen über den Datenschutz besuchen Sie bitte unsere Webseite.,neutral,tiago,,"For information about data protection, please visit our website.",at_customeraccount_consent,during_customeraccount,customeraccount,,3.0,1.0,3,2,NEUTRAL,NEUTRAL,16.0,NEUTRAL
1486940.3649902344,"Tut mir Leid, das weiß ich nicht.",neutral,tiago,,,,,,,,,3,2,,NEUTRAL,,
1490879.7028808594,Darf ich ihnen ein Kundenkonto einrichten?,neutral,tiago,,May I set up a customer account for you?,,during_customeraccount,customeraccount,,,,3,2,,NEUTRAL,,
1496607.0520019531,Dann benötige ich Ihren Namen und Ihre E-Mail-Adresse.,neutral,tiago,,"Then, I need your name and email address.",at_customeraccount_name,during_customeraccount,customeraccount,,4.0,3.0,3,2,NEUTRAL,NEUTRAL,19.0,NEUTRAL
1508245.126953125,Was ist Ihr Name?,neutral,tiago,,What is your name?,at_customeraccount_name,during_customeraccount,customeraccount,,4.0,3.0,3,2,NEUTRAL,NEUTRAL,19.0,
1511724.5388183594,Und wie ist ihre E-Mail-Adresse?,neutral,tiago,,And what is your email address?,,during_customeraccount,customeraccount,,,,3,2,,NEUTRAL,,
1520488.8759765625,Vielen Dank.,neutral,tiago,,Thank you very much.,,during_customeraccount,customeraccount,,,,3,2,,NEUTRAL,,
1522147.9870605469,"Das wars schon, der Rabatt wird ihnen automatisch an der Kasse angerechnet.",neutral,tiago,,That's it. The discount will be credited to you automatically at checkout.,,during_customeraccount,customeraccount,,,,3,2,,NEUTRAL,,
1532244.8208007812,Zum Entfernen von Schimmel haben wir nur dieses Produkt im Sortiment.,neutral,tiago,,"To remove mold, we have only this product in the store.",,during_mold_remover,mold_remover,,,,3,2,,NEUTRAL,,
1536838.5849609375,Möchten Sie den Schimmelentferner kaufen?,neutral,tiago,,Do you want to buy the mold remover?,,during_mold_remover,mold_remover,,,,3,2,,NEUTRAL,,
1540768.8410644531,"Ok, ich werde ihnen die Flasche reichen und meine Hand öffnen. Bitte seien Sie bereit, die Flasche zu übernehmen.",neutral,tiago,,"Okay, I will hand over the bottle to you and open my hand. Please be prepared to take the bottle.",at_mold_remover_handover,during_mold_remover,mold_remover,,3.0,4.0,3,2,NEUTRAL,NEUTRAL,25.0,NEUTRAL
1548139.2807617188,,neutral,tiago,grab,,at_mold_remover_handover,during_mold_remover,mold_remover,,3.0,4.0,3,2,NEUTRAL,NEUTRAL,25.0,
1555500.2290039062,,neutral,tiago,handover,,at_mold_remover_handover,during_mold_remover,mold_remover,,3.0,4.0,3,2,NEUTRAL,NEUTRAL,25.0,
1561493.7729492188,,neutral,tiago,neutral,,at_mold_remover_handover,during_mold_remover,mold_remover,,3.0,4.0,3,2,NEUTRAL,NEUTRAL,25.0,
1564395.0549316406,Kann ich Ihnen noch mit etwas helfen?,neutral,tiago,,Is there anything else I can help you with?,,,,,,,3,2,,NEUTRAL,,
1568697.66796875,Dann auf Wiedersehen und einen schönen Tag!,neutral,tiago,,"Goodbye, and have a nice day!",at_goodbye,,goodbye,,2.0,4.0,3,2,HPVLA,NEUTRAL,27.0,HPVLA
3355653.0,,neutral,tiago,,,mood_post,mood_post,,second_baseline,2.0,4.0,4,5,HPVLA,HPVHA,,
3545928.0,,neutral,tiago,,,mood_post,mood_post,,second_baseline,2.0,4.0,4,5,HPVLA,HPVHA,,
