NTPTime,speech,condition,robot,gesture,speech_eng,label_emotion,label_mood,scenario,TAG,emotion_arousal,emotion_valence,mood_arousal,mood_valence,emotion,mood,group,emotion_HRI
1637168.0,,neutral,tiago,,,mood_pre,mood_pre,,first_baseline,3.0,4.0,3,3,NEUTRAL,NEUTRAL,,
1826755.0,,neutral,tiago,,,mood_pre,mood_pre,,first_baseline,3.0,4.0,3,3,NEUTRAL,NEUTRAL,,
2031296.0,,neutral,tiago,,,,,,HRI_start,,,3,3,,NEUTRAL,,
2051392.8310546875,Guten Tag!,neutral,tiago,,Welcome!,,mood_pre,welcoming,,,,3,3,,NEUTRAL,,
2053121.4619140625,Zu welchem Produkt kann ich Sie beraten?,neutral,tiago,,Which product can I offer you advice on?,,mood_pre,welcoming,,,,3,3,,NEUTRAL,,
2059742.2099609373,Welche Bohrarbeit möchten Sie durchführen?,neutral,tiago,,What drilling work do you want to do?,,during_drill,drill,,,,4,3,,NEUTRAL,,
2072569.99609375,Handelt es sich um eine massive Wand?,neutral,tiago,,Is it a solid wall?,,during_drill,drill,,,,4,3,,NEUTRAL,,
2077498.248046875,Für massive Wände eignen sich Schlagbohrmaschinen besonders gut. Wir haben zwei Maschinen vorrätig.,neutral,tiago,,Percussion drilling machines are particularly suitable for solid walls. We have two machines in stock.,,during_drill,drill,,,,4,3,,NEUTRAL,,
2094235.4709472656,"Die Maschine von Xi Lix hat ein offizielles Sicherheitssiegel, was bei Ada Tronik nicht der Fall ist.",neutral,tiago,,"Xilix's machine has an official security seal, which is not the case with Adatronik.",,during_drill,drill,,,,4,3,,NEUTRAL,,
2101732.712890625,"Die Bohrmaschine von Xi Lix ist leiser, als die Maschine von Ada Tronik.",neutral,tiago,,The Xilix drill is quieter than Adatronik's machine.,,during_drill,drill,,,,4,3,,NEUTRAL,,
