NTPTime,speech,condition,robot,gesture,speech_eng,label_emotion,label_mood,scenario,TAG,emotion_arousal,emotion_valence,mood_arousal,mood_valence,emotion,mood,group,emotion_HRI
946887.0,,neutral,tiago,,,mood_pre,mood_pre,,first_baseline,2.0,5.0,1,3,HPVLA,NEUTRAL,,
1112926.0,,neutral,tiago,,,mood_pre,mood_pre,,first_baseline,2.0,5.0,1,3,HPVLA,NEUTRAL,,
1318326.0,,neutral,tiago,,,,,,HRI_start,,,1,3,,NEUTRAL,,
1341509.718017578,Guten Tag!,neutral,tiago,,Welcome!,,mood_pre,welcoming,,,,1,3,,NEUTRAL,,
1342629.8610839844,Zu welchem Produkt kann ich Sie beraten?,neutral,tiago,,Which product can I offer you advice on?,,mood_pre,welcoming,,,,1,3,,NEUTRAL,,
1352162.3869628906,Welche Bohrarbeit möchten Sie durchführen?,neutral,tiago,,What drilling work do you want to do?,,during_drill,drill,,,,4,4,,HPVHA,,
1360323.1728515625,Für massive Wände eignen sich Schlagbohrmaschinen besonders gut. Wir haben zwei Maschinen vorrätig.,neutral,tiago,,Percussion drilling machines are particularly suitable for solid walls. We have two machines in stock.,,during_drill,drill,,,,4,4,,HPVHA,,
1367428.457763672,"Die Maschine von Ada Tronik ist aktuell in unserem Angebotsprospekt und kostet 100€, die Maschine von Xi Lix ist etwas günstiger und kostet 65€.",neutral,tiago,,"The machine from Adatronik is currently on sale in our brochure and costs 100€, the machine from Xilix is slightly cheaper and costs 65€.",,during_drill,drill,,,,4,4,,HPVHA,,
1380766.9580078125,Welche weiteren Aspekte sind ihnen bei der Auswahl der Bohrmaschine noch wichtig?,neutral,tiago,,Which further aspects of selecting a drill are important for you?,,during_drill,drill,,,,4,4,,HPVHA,,
1388598.4060058594,"Die Maschine von Xi Lix hat ein offizielles Sicherheitssiegel, was bei Ada Tronik nicht der Fall ist.",neutral,tiago,,"Xilix's machine has an official security seal, which is not the case with Adatronik.",,during_drill,drill,,,,4,4,,HPVHA,,
1400092.255859375,"Tut mir Leid, das weiß ich nicht.",neutral,tiago,,,,,,,,,4,4,,HPVHA,,
1408688.8188476562,"Die Bohrmaschine von Xi Lix ist leiser, als die Maschine von Ada Tronik.",neutral,tiago,,The Xilix drill is quieter than Adatronik's machine.,,during_drill,drill,,,,4,4,,HPVHA,,
1419095.4208984375,"Tut mir Leid, das weiß ich nicht.",neutral,tiago,,,,,,,,,4,4,,HPVHA,,
1428220.8410644531,"Die Bohrmaschine von Xi Lix ist aus umweltfreundlichen Materialien hergestellt, bei Ada Tronik werden hierzu keine Angaben gemacht.",neutral,tiago,,The drill from Xilix is made of environmentally friendly materials. Adatronik does not provide any information on this.,,during_drill,drill,,,,4,4,,HPVHA,,
1440157.2409667969,Sind Sie an einer Empfehlung interessiert?,neutral,tiago,,Are you interested in a recommendation?,,during_drill,drill,,,,4,4,,HPVHA,,
1445984.3439941406,Ich würde Ihnen die Bohrmaschine von Xi Lix empfehlen. Sie ist günstiger und hat ein offizielles Sicherheitssiegel. Mit dem Kauf schützen Sie die Umwelt und sie ist zudem leiser.,neutral,tiago,,"I recommend the drill from Xilix. It is cheaper and has an official safety seal. By buying it, you protect the environment, and it is also quieter.",at_drillrecommendation,during_drill,drill,,4.0,3.0,4,4,NEUTRAL,HPVHA,16.0,NEUTRAL
1459573.8200683594,Für welches Produkt haben Sie sich entschieden?,neutral,tiago,,Which product did you choose?,,during_drill,drill,,,,4,4,,HPVHA,,
1467755.789794922,Ich lasse Ihnen das Produkt gerne an der Kasse hinterlegen.,neutral,tiago,,I will gladly deposit the product for you at the checkout.,,during_drill,drill,,,,4,4,,HPVHA,,
1478190.0559082031,Ja,neutral,tiago,,,,,,,,,4,4,,HPVHA,,
1480522.876953125,"Sie können einen Rabatt von 10% bekommen, wenn Sie ein Kundenkonto eröffnen.",neutral,tiago,,You will receive a 10% discount if you create a customer account.,,during_customeraccount,customeraccount,,,,3,2,,NEUTRAL,,
1490524.4909667969,Für Informationen über den Datenschutz besuchen Sie bitte unsere Webseite.,neutral,tiago,,"For information about data protection, please visit our website.",at_customeraccount_consent,during_customeraccount,customeraccount,,2.0,2.0,3,2,HNVLA,NEUTRAL,21.0,HNVLA
1497205.173828125,Darf ich ihnen ein Kundenkonto einrichten?,neutral,tiago,,May I set up a customer account for you?,,during_customeraccount,customeraccount,,,,3,2,,NEUTRAL,,
1501620.001953125,Dann benötige ich Ihren Namen und Ihre E-Mail-Adresse.,neutral,tiago,,"Then, I need your name and email address.",at_customeraccount_name,during_customeraccount,customeraccount,,3.0,3.0,3,2,NEUTRAL,NEUTRAL,23.0,NEUTRAL
1510045.376953125,Und wie ist ihre E-Mail-Adresse?,neutral,tiago,,And what is your email address?,,during_customeraccount,customeraccount,,,,3,2,,NEUTRAL,,
1515636.6950683594,Vielen Dank.,neutral,tiago,,Thank you very much.,,during_customeraccount,customeraccount,,,,3,2,,NEUTRAL,,
1516926.300048828,"Das wars schon, der Rabatt wird ihnen automatisch an der Kasse angerechnet.",neutral,tiago,,That's it. The discount will be credited to you automatically at checkout.,,during_customeraccount,customeraccount,,,,3,2,,NEUTRAL,,
1522299.6979980469,"Steht noch etwas auf Ihrer Einkaufsliste, bei dem ich Ihnen helfen kann?",neutral,tiago,,Is there anything else I can help you with on your shopping list?,,,,,,,3,2,,NEUTRAL,,
1529262.449951172,Zum Entfernen von Schimmel haben wir nur dieses Produkt im Sortiment.,neutral,tiago,,"To remove mold, we have only this product in the store.",,during_mold_remover,mold_remover,,,,3,2,,NEUTRAL,,
1533824.546875,Möchten Sie den Schimmelentferner kaufen?,neutral,tiago,,Do you want to buy the mold remover?,,during_mold_remover,mold_remover,,,,3,2,,NEUTRAL,,
1539098.4729003906,"Ok, ich werde ihnen die Flasche reichen und meine Hand öffnen. Bitte seien Sie bereit, die Flasche zu übernehmen.",neutral,tiago,,"Okay, I will hand over the bottle to you and open my hand. Please be prepared to take the bottle.",at_mold_remover_handover,during_mold_remover,mold_remover,,2.0,5.0,3,2,HPVLA,NEUTRAL,30.0,HPVLA
1541177.2277832031,,neutral,tiago,grab,,at_mold_remover_handover,during_mold_remover,mold_remover,,2.0,5.0,3,2,HPVLA,NEUTRAL,30.0,
1548175.7458496094,,neutral,tiago,handover,,at_mold_remover_handover,during_mold_remover,mold_remover,,2.0,5.0,3,2,HPVLA,NEUTRAL,30.0,
1554328.6918945312,,neutral,tiago,neutral,,at_mold_remover_handover,during_mold_remover,mold_remover,,2.0,5.0,3,2,HPVLA,NEUTRAL,30.0,
1558731.6599121094,Kann ich Ihnen noch mit etwas helfen?,neutral,tiago,,Is there anything else I can help you with?,,,,,,,3,2,,NEUTRAL,,
1562913.0490722656,Dann auf Wiedersehen und einen schönen Tag!,neutral,tiago,,"Goodbye, and have a nice day!",at_goodbye,,goodbye,,2.0,5.0,3,2,HPVLA,NEUTRAL,32.0,HPVLA
3876115.0,,neutral,tiago,,,mood_post,mood_post,,second_baseline,2.0,5.0,2,4,HPVLA,HPVLA,,
4074811.0,,neutral,tiago,,,mood_post,mood_post,,second_baseline,2.0,5.0,2,4,HPVLA,HPVLA,,
