NTPTime,speech,condition,robot,gesture,speech_eng,label_emotion,label_mood,scenario,TAG,emotion_arousal,emotion_valence,mood_arousal,mood_valence,emotion,mood,group,emotion_HRI
1017359.0,,neutral,tiago,,,mood_pre,mood_pre,,first_baseline,3.0,2.0,4,4,NEUTRAL,HPVHA,,
1201790.0,,neutral,tiago,,,mood_pre,mood_pre,,first_baseline,3.0,2.0,4,4,NEUTRAL,HPVHA,,
1370751.0,,neutral,tiago,,,,,,HRI_start,,,4,4,,HPVHA,,
1381326.958984375,Guten Tag!,neutral,tiago,,Welcome!,,mood_pre,welcoming,,,,4,4,,HPVHA,,
1382922.4489746094,Zu welchem Produkt kann ich Sie beraten?,neutral,tiago,,Which product can I offer you advice on?,,mood_pre,welcoming,,,,4,4,,HPVHA,,
1387931.8620605469,Welche Bohrarbeit möchten Sie durchführen?,neutral,tiago,,What drilling work do you want to do?,,during_drill,drill,,,,4,2,,HNVHA,,
1399079.080078125,Handelt es sich um eine massive Wand?,neutral,tiago,,Is it a solid wall?,,during_drill,drill,,,,4,2,,HNVHA,,
1403159.95703125,Für massive Wände eignen sich Schlagbohrmaschinen besonders gut. Wir haben zwei Maschinen vorrätig.,neutral,tiago,,Percussion drilling machines are particularly suitable for solid walls. We have two machines in stock.,,during_drill,drill,,,,4,2,,HNVHA,,
1422382.6240234375,"Die Maschine von Ada Tronik ist aktuell in unserem Angebotsprospekt und kostet 100€, die Maschine von Xi Lix ist etwas günstiger und kostet 65€.",neutral,tiago,,"The machine from Adatronik is currently on sale in our brochure and costs 100€, the machine from Xilix is slightly cheaper and costs 65€.",,during_drill,drill,,,,4,2,,HNVHA,,
1438285.8850097656,"Die Bohrmaschine von Xi Lix ist aus umweltfreundlichen Materialien hergestellt, bei Ada Tronik werden hierzu keine Angaben gemacht.",neutral,tiago,,The drill from Xilix is made of environmentally friendly materials. Adatronik does not provide any information on this.,,during_drill,drill,,,,4,2,,HNVHA,,
1457310.4790039062,Ja,neutral,tiago,,,,,,,,,4,2,,HNVHA,,
1462154.303955078,"Die Bohrmaschine von Xi Lix ist leiser, als die Maschine von Ada Tronik.",neutral,tiago,,The Xilix drill is quieter than Adatronik's machine.,,during_drill,drill,,,,4,2,,HNVHA,,
1478701.781982422,Ja,neutral,tiago,,,,,,,,,4,2,,HNVHA,,
1481225.3669433594,Welche weiteren Aspekte sind ihnen bei der Auswahl der Bohrmaschine noch wichtig?,neutral,tiago,,Which further aspects of selecting a drill are important for you?,,during_drill,drill,,,,4,2,,HNVHA,,
1493658.6779785156,"Die Maschine von Xi Lix hat ein offizielles Sicherheitssiegel, was bei Ada Tronik nicht der Fall ist.",neutral,tiago,,"Xilix's machine has an official security seal, which is not the case with Adatronik.",,during_drill,drill,,,,4,2,,HNVHA,,
1500675.6528320312,Sind Sie an einer Empfehlung interessiert?,neutral,tiago,,Are you interested in a recommendation?,,during_drill,drill,,,,4,2,,HNVHA,,
1505716.6040039062,Ich würde Ihnen die Bohrmaschine von Xi Lix empfehlen. Sie ist günstiger und hat ein offizielles Sicherheitssiegel. Mit dem Kauf schützen Sie die Umwelt und sie ist zudem leiser.,neutral,tiago,,"I recommend the drill from Xilix. It is cheaper and has an official safety seal. By buying it, you protect the environment, and it is also quieter.",at_drillrecommendation,during_drill,drill,,3.0,4.0,4,2,NEUTRAL,HNVHA,17.0,NEUTRAL
1526966.5620117188,Ich lasse Ihnen das Produkt gerne an der Kasse hinterlegen.,neutral,tiago,,I will gladly deposit the product for you at the checkout.,,during_drill,drill,,,,4,2,,HNVHA,,
1534471.1118164062,Darf ich ihnen ein Kundenkonto einrichten?,neutral,tiago,,May I set up a customer account for you?,,during_customeraccount,customeraccount,,,,3,1,,NEUTRAL,,
1542945.196044922,Für Informationen über den Datenschutz besuchen Sie bitte unsere Webseite.,neutral,tiago,,"For information about data protection, please visit our website.",at_customeraccount_consent,during_customeraccount,customeraccount,,3.0,3.0,3,1,NEUTRAL,NEUTRAL,20.0,NEUTRAL
1551175.9350585938,"Tut mir Leid, das weiß ich nicht.",neutral,tiago,,,,,,,,,3,1,,NEUTRAL,,
1565523.8659667969,Kann ich Ihnen noch mit etwas helfen?,neutral,tiago,,Is there anything else I can help you with?,,,,,,,3,1,,NEUTRAL,,
1571629.5949707031,Zum Entfernen von Schimmel haben wir nur dieses Produkt im Sortiment.,neutral,tiago,,"To remove mold, we have only this product in the store.",,during_mold_remover,mold_remover,,,,3,1,,NEUTRAL,,
1576036.71484375,Der Schimmelentferner entfernt nachhaltig jeden Schimmelpilz.,neutral,tiago,,The mold remover removes every mold sustainably,,during_mold_remover,mold_remover,,,,3,1,,NEUTRAL,,
1584659.3659667969,Der Schimmelentferner kostet 6 Euro 10.,neutral,tiago,,The mold remover costs 6 euros 10 cents.,,during_mold_remover,mold_remover,,,,3,1,,NEUTRAL,,
1587526.449951172,Möchten Sie den Schimmelentferner kaufen?,neutral,tiago,,Do you want to buy the mold remover?,,during_mold_remover,mold_remover,,,,3,1,,NEUTRAL,,
1593098.7849121094,"Ok, ich werde ihnen die Flasche reichen und meine Hand öffnen. Bitte seien Sie bereit, die Flasche zu übernehmen.",neutral,tiago,,"Okay, I will hand over the bottle to you and open my hand. Please be prepared to take the bottle.",at_mold_remover_handover,during_mold_remover,mold_remover,,4.0,5.0,3,1,HPVHA,NEUTRAL,27.0,HPVHA
1595191.498046875,,neutral,tiago,grab,,at_mold_remover_handover,during_mold_remover,mold_remover,,4.0,5.0,3,1,HPVHA,NEUTRAL,27.0,
1602396.7709960938,,neutral,tiago,handover,,at_mold_remover_handover,during_mold_remover,mold_remover,,4.0,5.0,3,1,HPVHA,NEUTRAL,27.0,
1611621.1450195312,Kann ich Ihnen noch mit etwas helfen?,neutral,tiago,,Is there anything else I can help you with?,,,,,,,3,1,,NEUTRAL,,
1616627.453125,Dann auf Wiedersehen und einen schönen Tag!,neutral,tiago,,"Goodbye, and have a nice day!",at_goodbye,,goodbye,,3.0,2.0,3,1,NEUTRAL,NEUTRAL,29.0,NEUTRAL
3693060.0,,neutral,tiago,,,mood_post,mood_post,,second_baseline,3.0,2.0,3,3,NEUTRAL,NEUTRAL,,
3907742.0,,neutral,tiago,,,mood_post,mood_post,,second_baseline,3.0,2.0,3,3,NEUTRAL,NEUTRAL,,
