NTPTime,speech,condition,robot,gesture,speech_eng,label_emotion,label_mood,scenario,TAG,emotion_arousal,emotion_valence,mood_arousal,mood_valence,emotion,mood,group,emotion_HRI
1029047.0,,neutral,tiago,,,mood_pre,mood_pre,,first_baseline,3.0,3.0,3,4,NEUTRAL,NEUTRAL,,
1210727.0,,neutral,tiago,,,mood_pre,mood_pre,,first_baseline,3.0,3.0,3,4,NEUTRAL,NEUTRAL,,
1383126.0,,neutral,tiago,,,,,,HRI_start,,,3,4,,NEUTRAL,,
1395606.010986328,Guten Tag!,neutral,tiago,,Welcome!,,mood_pre,welcoming,,,,3,4,,NEUTRAL,,
1396986.75390625,Zu welchem Produkt kann ich Sie beraten?,neutral,tiago,,Which product can I offer you advice on?,,mood_pre,welcoming,,,,3,4,,NEUTRAL,,
1402685.739013672,Welche Bohrarbeit möchten Sie durchführen?,neutral,tiago,,What drilling work do you want to do?,,during_drill,drill,,,,4,4,,HPVHA,,
1408300.3498535156,Handelt es sich um eine massive Wand?,neutral,tiago,,Is it a solid wall?,,during_drill,drill,,,,4,4,,HPVHA,,
1412997.75390625,Für massive Wände eignen sich Schlagbohrmaschinen besonders gut. Wir haben zwei Maschinen vorrätig.,neutral,tiago,,Percussion drilling machines are particularly suitable for solid walls. We have two machines in stock.,,during_drill,drill,,,,4,4,,HPVHA,,
1421102.324951172,"Möchten Sie wissen, wie sich die beiden Bohrmaschinen unterscheiden?",neutral,tiago,,Would you like to know how the two drills differ?,,during_drill,drill,,,,4,4,,HPVHA,,
1426687.3889160156,"Die Maschine von Ada Tronik ist aktuell in unserem Angebotsprospekt und kostet 100€, die Maschine von Xi Lix ist etwas günstiger und kostet 65€.",neutral,tiago,,"The machine from Adatronik is currently on sale in our brochure and costs 100€, the machine from Xilix is slightly cheaper and costs 65€.",,during_drill,drill,,,,4,4,,HPVHA,,
1443562.4729003906,"Die Bohrmaschine von Xi Lix ist aus umweltfreundlichen Materialien hergestellt, bei Ada Tronik werden hierzu keine Angaben gemacht.",neutral,tiago,,The drill from Xilix is made of environmentally friendly materials. Adatronik does not provide any information on this.,,during_drill,drill,,,,4,4,,HPVHA,,
1451590.791015625,Welche weiteren Aspekte sind ihnen bei der Auswahl der Bohrmaschine noch wichtig?,neutral,tiago,,Which further aspects of selecting a drill are important for you?,,during_drill,drill,,,,4,4,,HPVHA,,
1460212.4377441406,"Die Maschine von Xi Lix hat ein offizielles Sicherheitssiegel, was bei Ada Tronik nicht der Fall ist.",neutral,tiago,,"Xilix's machine has an official security seal, which is not the case with Adatronik.",,during_drill,drill,,,,4,4,,HPVHA,,
1469512.541015625,"Die Bohrmaschine von Xi Lix ist leiser, als die Maschine von Ada Tronik.",neutral,tiago,,The Xilix drill is quieter than Adatronik's machine.,,during_drill,drill,,,,4,4,,HPVHA,,
1477764.2478027344,Sind Sie an einer Empfehlung interessiert?,neutral,tiago,,Are you interested in a recommendation?,,during_drill,drill,,,,4,4,,HPVHA,,
1482498.1918945312,Ich würde Ihnen die Bohrmaschine von Xi Lix empfehlen. Sie ist günstiger und hat ein offizielles Sicherheitssiegel. Mit dem Kauf schützen Sie die Umwelt und sie ist zudem leiser.,neutral,tiago,,"I recommend the drill from Xilix. It is cheaper and has an official safety seal. By buying it, you protect the environment, and it is also quieter.",at_drillrecommendation,during_drill,drill,,2.0,3.0,4,4,NEUTRAL,HPVHA,16.0,NEUTRAL
1497678.2087402344,Ich lasse Ihnen das Produkt gerne an der Kasse hinterlegen.,neutral,tiago,,I will gladly deposit the product for you at the checkout.,,during_drill,drill,,,,4,4,,HPVHA,,
1502580.833984375,Haben Sie bereits von unserem Kundenkonto gehört?,neutral,tiago,,Have you heard about our customer account?,,during_customeraccount,customeraccount,,,,3,2,,NEUTRAL,,
1508802.7980957031,"Sie können einen Rabatt von 10% bekommen, wenn Sie ein Kundenkonto eröffnen.",neutral,tiago,,You will receive a 10% discount if you create a customer account.,,during_customeraccount,customeraccount,,,,3,2,,NEUTRAL,,
1513477.0629882812,Darf ich ihnen ein Kundenkonto einrichten?,neutral,tiago,,May I set up a customer account for you?,,during_customeraccount,customeraccount,,,,3,2,,NEUTRAL,,
1519964.5537109375,Für Informationen über den Datenschutz besuchen Sie bitte unsere Webseite.,neutral,tiago,,"For information about data protection, please visit our website.",at_customeraccount_consent,during_customeraccount,customeraccount,,3.0,1.0,3,2,NEUTRAL,NEUTRAL,21.0,NEUTRAL
1531773.9389648438,Darf ich ihnen ein Kundenkonto einrichten?,neutral,tiago,,May I set up a customer account for you?,,during_customeraccount,customeraccount,,,,3,2,,NEUTRAL,,
1538320.4919433594,Ok,neutral,tiago,,,,,,,,,3,2,,NEUTRAL,,
1540375.0639648438,Zum Entfernen von Schimmel haben wir nur dieses Produkt im Sortiment.,neutral,tiago,,"To remove mold, we have only this product in the store.",,during_mold_remover,mold_remover,,,,3,2,,NEUTRAL,,
1544715.4748535156,Möchten Sie den Schimmelentferner kaufen?,neutral,tiago,,Do you want to buy the mold remover?,,during_mold_remover,mold_remover,,,,3,2,,NEUTRAL,,
1549091.8620605469,"Ok, ich werde ihnen die Flasche reichen und meine Hand öffnen. Bitte seien Sie bereit, die Flasche zu übernehmen.",neutral,tiago,,"Okay, I will hand over the bottle to you and open my hand. Please be prepared to take the bottle.",at_mold_remover_handover,during_mold_remover,mold_remover,,3.0,4.0,3,2,NEUTRAL,NEUTRAL,26.0,NEUTRAL
1556314.7719726562,,neutral,tiago,grab,,at_mold_remover_handover,during_mold_remover,mold_remover,,3.0,4.0,3,2,NEUTRAL,NEUTRAL,26.0,
1565541.5959472656,,neutral,tiago,handover,,at_mold_remover_handover,during_mold_remover,mold_remover,,3.0,4.0,3,2,NEUTRAL,NEUTRAL,26.0,
1573400.8208007812,,neutral,tiago,neutral,,at_mold_remover_handover,during_mold_remover,mold_remover,,3.0,4.0,3,2,NEUTRAL,NEUTRAL,26.0,
1577375.496826172,Haben Sie bereits von unserem Kundenkonto gehört?,neutral,tiago,,Have you heard about our customer account?,,during_customeraccount,customeraccount,,,,3,2,,NEUTRAL,,
1582473.406982422,Darf ich ihnen ein Kundenkonto einrichten?,neutral,tiago,,May I set up a customer account for you?,,during_customeraccount,customeraccount,,,,3,2,,NEUTRAL,,
1587645.9309082031,Dann benötige ich Ihren Namen und Ihre E-Mail-Adresse.,neutral,tiago,,"Then, I need your name and email address.",at_customeraccount_name,during_customeraccount,customeraccount,,4.0,3.0,3,2,NEUTRAL,NEUTRAL,29.0,NEUTRAL
1601726.25390625,Und wie ist ihre E-Mail-Adresse?,neutral,tiago,,And what is your email address?,,during_customeraccount,customeraccount,,,,3,2,,NEUTRAL,,
1610692.8779296875,Vielen Dank.,neutral,tiago,,Thank you very much.,,during_customeraccount,customeraccount,,,,3,2,,NEUTRAL,,
1612080.17578125,"Das wars schon, der Rabatt wird ihnen automatisch an der Kasse angerechnet.",neutral,tiago,,That's it. The discount will be credited to you automatically at checkout.,,during_customeraccount,customeraccount,,,,3,2,,NEUTRAL,,
1617091.2399902344,Kann ich Ihnen noch mit etwas helfen?,neutral,tiago,,Is there anything else I can help you with?,,,,,,,3,2,,NEUTRAL,,
1621473.0119628906,Dann auf Wiedersehen und einen schönen Tag!,neutral,tiago,,"Goodbye, and have a nice day!",at_goodbye,,goodbye,,3.0,3.0,3,2,NEUTRAL,NEUTRAL,34.0,NEUTRAL
3874740.0,,neutral,tiago,,,mood_post,mood_post,,second_baseline,3.0,3.0,3,4,NEUTRAL,NEUTRAL,,
4066905.0,,neutral,tiago,,,mood_post,mood_post,,second_baseline,3.0,3.0,3,4,NEUTRAL,NEUTRAL,,
