code,condition,age,gender,professional_experience,current_occupation,experience_with_robots,experience_type,highest_degree,mood_pre_arousal,mood_pre_valence,robot,selected_drill,competence_8,competence_9,competence_10,competence_11,benevolence_1,benevolence_2,benevolence_3,integrity_4,integrity_5,integrity_6,integrity_7,customer_account,attitude_1,attitude_2,attitude_3,perceived_usefulness_1,perceived_usefulness_2,perceived_usefulness_3,perceived_ease_use_1,perceived_ease_use_2,perceived_ease_use_3,perceived_ease_use_4,perceived_ease_use_5,perceived_enjoyment_1,perceived_enjoyment_2,perceived_enjoyment_3,perceived_enjoyment_4,perceived_enjoyment_5,perceived_sociability_1,perceived_sociability_2,perceived_sociability_3,perceived_sociability_4,social_presents_1,social_presents_2,social_presents_3,social_presents_4,social_presents_5,customer_satisfaction_2,customer_satisfaction_1,customer_satisfaction_3,customer_satisfaction_4,mood_post_arousal,mood_post_valence,during_drill_arousal,during_drill_valence,at_drillrecommendation_arousal,at_drillrecommendation_valence,after_drill_valence,after_drill_arousal,during_customeraccount_valence,during_customeraccount_arousal,at_customeraccount_name_valence,at_customeraccount_name_arousal,at_customeraccount_consent_valence,at_customeraccount_consent_arousal,after_customeraccount_valence,after_customeraccount_arousal,during_moldremover_valence,during_moldremover_arousal,at_moldremover_handover_valence,at_moldremover_handover_arousal,after_moldremover_valence,after_moldremover_arousal,at_good-bye_valence,at_good-bye_arousal,disclosure_encompassment,disclosure_completeness,disclosure_need,disclosure_sufficience,clarity_understandable,clarity_clear,clarity_comprehensive,clarity_translated_understandable,accuracy_true,accuracy_correct,accuracy_accurate,accuracy_right,responsibility_store_vs_robot,responsibility_store_vs_customer,responsibility_customer_vs_robot,damage_store,damage_customer,damage_robot,d_1,e_1,c_1,a_1,e_2,a_2,b_1,c_2,d_2,f_1,f_2
88acdccfe1ab13225e2cb86a3fe13ba4c63d4ce9f3a38f219381c124a2ff6edc,neutral,50,female,5,2,1,6,3,3,3,tiago,2.0,2,2,2,3,3,2,3,4,4,4,4,1.0,4,1,2,3,3,2,3.0,4.0,4.0,4.0,4.0,2,5,2,5,1,1,2,4,3,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2,3,4,3,4,3,2,4,3,4,2,5,4,3,2,4,3,4,4,4,4,3,4,3,2,2,2,2,4,2,4,5,4.0,4.0,2.0,4.0,1.0,5.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0
fc35442d291f74a574b025765438e1b9fe1d778343248af4f5fb58852d08e16b,neutral,26,male,2,1,3,3,4,3,4,tiago,2.0,3,4,4,2,3,3,4,4,4,4,4,1.0,2,3,2,2,2,2,4.0,4.0,5.0,5.0,4.0,3,4,4,4,2,3,2,4,3,1.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,3,4,4,4,2,3,4,3,2,3,3,4,1,3,3,3,3,3,4,3,4,3,3,3,3,4,3,2,4,4,4,4,4.0,4.0,4.0,3.0,3.0,2.0,6.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0
1cc72883168584090dbb4704ba8337a7bb63d4159f26b25358adaf7de8f72679,neutral,26,male,2,2,2,1,5,1,4,tiago,2.0,3,2,4,2,3,3,4,4,3,4,5,1.0,1,4,1,4,4,4,5.0,5.0,5.0,5.0,5.0,1,3,4,5,1,1,1,3,4,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2,4,4,1,4,1,1,3,1,4,1,5,2,4,1,5,3,2,4,2,3,2,2,2,1,1,2,4,5,5,5,5,5.0,5.0,5.0,5.0,2.0,1.0,7.0,5.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,5.0,5.0,1.0,2.0,2.0,3.0
89ceb074b4b3c8f5df734365245e44dc40e9ab80fc20f1b7a0c54a67bbc7b324,neutral,27,female,2,1,2,3,5,2,4,tiago,2.0,5,5,5,5,5,4,1,4,2,3,3,1.0,5,5,3,5,5,5,4.0,5.0,5.0,5.0,5.0,4,5,4,5,1,5,5,5,5,2.0,1.0,3.0,2.0,2.0,5.0,4.0,5.0,5.0,2,5,3,4,3,5,5,3,3,3,3,4,2,3,3,3,4,2,5,4,5,3,5,2,4,5,2,4,5,5,5,5,4.0,5.0,5.0,5.0,1.0,3.0,2.0,5.0,2.0,1.0,5.0,2.0,1.0,4.0,1.0,5.0,2.0,1.0,5.0,5.0,5.0
d20938281e615b5089c73194169efd47fe22192e24aab2d79c4e2eac5d0693ab,neutral,23,male,1,1,1,6,4,1,4,tiago,2.0,3,3,2,1,4,4,3,5,4,4,4,1.0,4,3,3,5,5,4,5.0,5.0,5.0,5.0,5.0,4,3,4,5,1,3,4,3,4,1.0,3.0,1.0,1.0,1.0,4.0,5.0,4.0,4.0,2,4,3,4,4,3,4,3,2,4,3,4,2,4,3,3,4,4,4,3,4,3,4,3,3,2,4,4,5,5,2,5,3.0,4.0,5.0,4.0,1.0,1.0,5.0,5.0,2.0,1.0,4.0,4.0,2.0,4.0,1.0,4.0,5.0,2.0,4.0,3.0,4.0
2449b2bbc0e7d455026a69403b6366682a95c84d3e37f281bf0aa1a676c70076,neutral,40,male,5,2,3,4,3,2,4,tiago,2.0,5,5,5,5,4,5,4,4,4,4,4,1.0,5,4,5,5,5,5,4.0,5.0,5.0,5.0,5.0,5,5,5,4,1,5,5,5,5,4.0,4.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0,2,4,3,4,2,5,5,1,3,3,2,3,2,4,2,4,4,2,5,1,5,1,4,1,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,1.0,1.0,3.0,2.0,4.0,1.0,4.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,4.0,4.0,4.0
8727a461eded57b1f965eff371ed95a0d0ef07c455e6695e63468086375bd413,neutral,26,female,1,1,2,3,4,3,4,tiago,2.0,5,5,5,5,5,4,5,5,5,5,5,1.0,5,4,5,5,4,5,5.0,5.0,5.0,5.0,5.0,4,5,3,5,2,4,5,5,5,1.0,4.0,1.0,1.0,1.0,5.0,4.0,5.0,5.0,4,5,4,4,2,5,3,3,2,3,3,4,1,3,4,3,4,4,4,3,5,3,4,2,4,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,1.0,1.0,4.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0
728c0816f81b7c6207ca75bb783a97c2e71d43febfe69b09aa3875336ce666fc,neutral,26,male,2,2,2,3,5,2,3,tiago,2.0,4,4,3,4,4,4,4,3,5,5,4,1.0,4,3,4,4,4,4,5.0,5.0,5.0,5.0,5.0,4,5,4,5,2,4,4,2,4,3.0,3.0,1.0,1.0,3.0,4.0,3.0,4.0,3.0,2,4,3,4,2,4,3,2,3,3,3,4,2,3,3,2,5,3,5,2,5,1,4,2,4,5,4,3,5,5,3,5,5.0,3.0,3.0,4.0,1.0,3.0,3.0,5.0,3.0,1.0,4.0,2.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,3.0,3.0
2a9d222ae1ef59d63043d7101b668f05d35b2c704f39b8a9e260c0428d4104c5,neutral,25,male,1,1,2,3,4,2,3,tiago,2.0,4,4,4,4,4,5,4,5,4,5,4,1.0,4,3,4,5,4,5,5.0,5.0,5.0,5.0,3.0,4,3,4,4,2,4,4,4,4,2.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2,4,2,4,2,4,4,1,4,2,3,3,4,2,4,2,4,3,5,2,5,1,5,1,5,5,5,5,5,5,5,5,4.0,4.0,4.0,5.0,2.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0
adcefcf2f657ad0557a1fc6f590d3f8bafe5f5de84b1f6541302b95f8efed25e,neutral,25,female,2,1,2,3,4,4,4,tiago,2.0,4,4,3,2,3,4,4,3,4,4,4,2.0,4,2,3,4,4,4,4.0,4.0,5.0,5.0,5.0,3,4,4,5,1,4,3,4,5,1.0,5.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,3,4,5,4,5,4,4,3,3,5,2,5,2,4,3,5,3,4,5,4,4,4,5,2,4,5,4,4,5,5,5,5,5.0,5.0,5.0,5.0,1.0,1.0,6.0,5.0,1.0,1.0,4.0,3.0,2.0,5.0,3.0,5.0,5.0,2.0,3.0,4.0,4.0
